id,left_id,right_id,label,left_title,left_category,left_brand,left_modelno,left_price,right_title,right_category,right_brand,right_modelno,right_price
3124,1686,17761,0,boise aspen 30 office paper 92 brightness 20lb 8-1 2 x 14 5000 sheets carton,stationery & office machinery,,54901,52.54,new-hammermill 105007 - copy plus copy paper 92 brightness 20lb 8-1 2 x 11 white 5000 sheets carton - ham105007,storage presentation materials,hammermill,,89.23
4949,612,14691,0,da-lite video spectra 1.5 advantage manual with csr - wide format 113 diagonal,electronics - general,da-lite,34716,888.99,da-lite manual 92 diagonal hdtv format home theater wall screen with video spectra 1.5 fabric,projection screens,da-lite,,254.95
8003,967,20125,0,da-lite da-glas unframed rear projection screen - 43 1 4 x 57 3 4 video format,electronics - general,da-lite,27602,920.99,da-lite 27673 da-glas self trimming rear projection screen - 96 x 96 av format,projection screens,da-lite,,
1652,823,14694,0,da-lite high contrast matte white model c manual screen - 8 x 10 av format,electronics - general,da-lite,93221,616.0,da-lite deluxe model b high contrast matte white - projection screen,projection screens,da-lite,high contrast matte white,125.95
4905,1861,17193,0,innovera d2130b black compatible high-yield toner print cartridge,printers,innovera,d2130b,58.9,innovera b435a - b435a compatible toner 1500 page-yield black,computers accessories,innovera,,
2908,81,10884,0,innovera heavyweight photo paper matte 8-1 2 x 11 50 sheets pack,stationery & office machinery,innovera,99650,11.7,innovera 99450 - glossy photo paper 8-1 2 x 11 50 sheets pack,hard drive bags,innovera,,
8633,1502,10821,0,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,minnesota wild iphone 4 case silicone cover,computers accessories,tribeca,,16.99
6457,883,3053,0,hp 901 black inkjet cartridge twin pack,printers,hp,hp cz075fn # 140,26.98,hp 98 black ink cartridge in retail packaging twin pack c9514fn 140,inkjet printer ink,hp,c9514fn # 140,
8827,277,15701,0,acp-ep memory 32gb class 4 sdhc card,usb drives,ep memory,epsdhc/32gb -4,68.88,patriot 16 gb class 6 sdhc flash memory card,blank media,patriot,psf16gsdhc6,21.99
4427,215,10596,0,buffalo technology ministation metro 1 tb usb 2.0 portable external hard drive with integrated flex cable encryption and turbopc hd-pxt1tu2 b black,hard drives,buffalo technology,hdpxt1tu2b,99.82,buffalo technology ministation plus 1 tb usb 3.0 portable external hard drive with shock protection hd-pnt1 .0 u3br red,external hard drives,buffalo technology,hd-pnt1 .0 u3br,103.24
5101,1267,1986,0,us brown bear fixed series medium slim fixed mount for 23 - 37 displays,furniture,us brown bear,,19.99,us brown bear w9-55f - blk slim medium fixed mount for 32 -55 displays black,tv mounts,u.s. brown bear,w9-55f-blk,39.99
5658,1344,19124,0,sony 8gb class 4 sd memory card,usb drives,sony,sf8n4/tqp,0.0,pny 4gb class 4 gray sd card,memory cards,pny,p-sdhc4g4-ef / gray,14.79
4118,1354,2300,0,virginia tech hokies iphone 4 case black shell,electronics - general,tribeca,fva3168,29.99,new york knicks iphone 4 case black shell,covers skins,tribeca,,18.99
7926,1605,18152,0,da-lite da-plex deluxe rear projection screen - 36 x 48 video format,electronics - general,da-lite,27559,1630.99,da-lite 27903 da-plex self trimming rear projection screen - 96 x 120 av format,projection screens,da-lite,,
7660,228,17695,0,comprehensive high density15-pin vga male metal connector with hood set of 25,tv accessories,comprehensive,hd15p,69.0,comprehensive rj11p rj11 male connector - 6 position 4 conductor set of 25,,comprehensive,,
7598,1708,18510,0,pendaflex straight cut conversion folders letter manila box of 100,stationery & office machinery,,16640,33.94,pendaflex 13157 - folders two fasteners laminated straight cut end tabs manila letter 50 box,laminating supplies,pendaflex,,
4290,2018,15200,0,wintec filemate 4gb compactflash memory card,usb drives,wintec,3fmcf4gb-r,15.98,wintec filemate 8 gb s-professional compactflash card,memory cards,wintec,3fmcf8gbs-r,25.99
6746,2127,1951,0,svat ultra-slim web-ready 8 channel dvr security system with built-in 19 lcd screen and 4 indoor outdoor hi-res night vision surveillance cameras,garden - general,svat electronics,clearvu10,1199.0,defender sync 19 inch lcd all-in-one security system with 4 hi-res indoor outdoor surveillance cameras black,surveillance cameras,defender,sn503-8ch19m-002,699.99
1189,1229,10854,0,michigan wolverines iphone 4 case silicone cover,electronics - general,tribeca,fva3437,24.99,michigan wolverines iphone 3g silicone cover,computers accessories,tribeca,,19.99
3167,865,1080,0,hello kitty computer accessories bundle with keyboard wireless mouse and usb flash drive,computers,,,48.0,hello kitty 2.4 ghz wireless usb keyboard with 2.4 ghz wireless usb mouse and hello kitty mouse pad and hello kitty 2gb flash drive,keyboards,hello kitty,,74.95
8070,2030,9152,0,energizer er-p240 cordless phone battery,computers,energizer,,11.88,energizer er-p290 2.4-volt cordless phone battery,batteries,energizer,er-p290,7.32
6470,2405,4966,0,hp laserjet 53x black print cartridge,printers,hp,q7553x,164.84,hp laserjet 36a black print cartridge cb436a,laser printer toner,hp,cb436a,54.2
4574,1583,12227,0,brother tx2511 laminated tape cartridge,stationery & office machinery,brother,tx2511,34.88,brother tn250 toner cartridge,laser printer toner,brother,tn250,22.6
5907,36,2991,0,iluv desktop alarm clock with bed shaker for your iphone ipod - pink,portable audio,iluv,imm153pnk,54.88,iluv imm178 vibe plus dual alarm clock with bed shaker for ipod and iphone black,speaker systems,iluv,imm178,51.88
9952,2028,15426,0,acer iconia tablet bluetooth keyboard,laptop computers,acer,a500k01,49.0,sony vaio bluetooth keyboard,keyboards,sony,vgp-bkb1,97.68
7259,1129,10598,0,buffalo technology drivestation axis 1.5 tb usb 2.0 desktop external hard drive with buffalo tools and turbo pc hd-lb1 .5 tu2 black,hard drives,buffalo technology,hd-lb1 .5 tu2,101.82,buffalo technology ministation cobalt 640 gb usb 2.0 portable hard drive with turbopc hd-pet640u2 b black,external hard drives,buffalo technology,hd-pet640u2 / b,128.24
7676,540,7373,0,tp-link tl-wa500g 54mbps extended range wireless access point,networking,tp link,tl-wa500g,32.88,tp-link tl-wn350g 54mbps wireless pci adapter,usb network adapters,tp-link,tl-wn350g,12.88
3404,2188,14564,0,buffalo technology 2tb usb 3.0 drivestation duo,hard drives,buffalo technology,hdwl2tu3r1,239.82,buffalo technology drivestation duo 6 tb 2 x 3 tb usb 3.0 external raid hard drive array hd-wl6tu3r1 black,computers accessories,buffalo technology,hd-wl6tu3r1,586.99
1313,1564,2980,0,incipio smart feather for apple ipad 2 light blue,electronics - general,incipio,ipad-227,33.25,incipio smart feather case for apple ipad 2 - red ipad-231,cases sleeves,incipio,ipad-231,31.32
7431,2475,5235,0,asus radeon hd5570 1gb ddr5 pci express graphics card,electronics - general,asus,eah5770 cucore/g/2di,180.41,visiontek radeon 6570 1 gb ddr3 pci express dvi-d hdmi vga graphics card 900370,graphics cards,visiontek,900370,94.11
6922,1145,20723,0,kodak easyshare m531 red 14mp digital camera w 3x optical zoom 2.7 lcd display w 50 bonus prints,digital cameras,kodak,m531 red,89.0,kodak easyshare m522 14 mp digital camera with 4x optical zoom and 2.7-inch lcd - silver new model,point shoot digital cameras,kodak,1521863,
8424,217,20731,0,imation 32gb pocket flash drive,usb drives,imation,27860,77.21,imation 8gb swivel flash drive,usb flash drives,imation,26654,17.58
4080,2117,19846,0,cables to go 3 mini usb cable,electronics - general,cables to go,27329,5.88,mini mirco usb cable,audio cables,innergie,tacc-rmmc90gr,14.29
1889,2305,954,0,clickfree c2 500gb usb 3.0 portable external hard drive,hard drives,clickfree,hd527b3,84.98,iomega prestige 500 gb usb 2.0 portable external hard drive 34808,external hard drives,iomega,34808,107.96
9232,1413,10729,0,logitech 910-002463 wireless mouse m305 silver filament,mice,logitech,910-002463,28.88,logitech wireless mouse m305 pink balance,mice,logitech,910-001897,23.2
1057,117,15292,0,v7 10 cat6 snagless molded network patch cable gray,electronics - general,v7,v7n2c6-10f-grys,5.88,v7 cat5e snagless molded network patch cable rj45 male to male grey 7-feet v7n3c5e-07f-grys,ethernet cables,v7,v7n3c5e-07f-grys,3.48
7489,2477,17116,0,jvc inner-ear sports clip earbuds violet,electronics - general,jvc,haebx5v,19.95,new-inner-ear sports clip earbuds - red - dq2349,headphones,jvc,,21.0
2456,69,14641,1,lorex simulated bullet style surveillance camera,garden - general,lorex,sg-610,12.84,new-simulated bullet style surveillance camera - t53962,home security systems,lorex,,31.0
4088,2160,14616,0,nikon d3000 black 10.2 mp dslr camera kit with af-s dx nikkor 18-55mm f 3.5-5 .6 g vr lens w 50 bonus prints,digital cameras,nikon,d3000 kit,443.99,nikon 18-55mm f 3.5-5 .6 g af-s dx vr nikkor zoom lens,camera lenses,nikon,b000zmcilw,
7758,1661,12454,0,edge 8gb diskgo usb 2.0 flash drive silver,usb drives,edge,pe204198,10.98,edge diskgo secure guardian flash drive - usb flash drive - 4 gb - usb 2.0,computer components,edge,diskgo secure guardian flash drive,97.11
2241,399,6641,0,motorola h17 bluetooth headset,electronics - general,motorola,89334m,38.84,bluetooth headset,headsets microphones,motorola,89409n,23.99
4462,857,7347,1,trendnet tew-690ap wireless n access point,networking,trendnet,tew-690ap,139.82,trendnet 450 mbps wireless n access point tew-690ap black,wireless access points,trendnet,tew-690ap,119.99
3723,41,8857,0,kingston ktd-dm8400a 1g 1gb ddr2 sdram memory module,memory,kingston,ktd-dm8400a / 1g,22.92,kingston 2 gb ddr2 sdram memory module 2 gb 1 x 2 gb 667mhz ddr2 sdram 200pin ktd-insp6000b 2g,memory,kingston,ktd-insp6000b / 2g,27.72
1952,2107,19752,0,atrend-bbox a201-12cp b box series single-sealed 10 up-fire enclosure,car stereos,atrend,a201-12cp,60.88,atrend 10sme b box series single shallow mount sealed enclosure 10,office electronics,atrend,,73.5
5906,935,1198,0,jvc gumy headphones red,electronics - general,jvc,haf150r,9.0,jvc haf140bn gumy headphone black,headphones,jvc,haf140bn,6.49
9914,1684,17948,1,rolodex business card binder with a-z tabs black,stationery & office machinery,rolodex,66451,27.94,new-rolodex 66451 - business card binder with a-z tabs holds 200 2 1 4 x 4 cards black - rol66451,laminating supplies,rolodex,,44.0
6154,614,5969,0,atrend-bbox a361-12cp b box series speaker,car stereos,atrend,a361-12cp,56.88,atrend-bbox a362-12cp b box series dual speakers for ford f150 super crew cab 2009 and up 12-inch,coaxial speakers,atrend-bbox,a362-12cp,88.85
3392,2119,687,0,netgear prosafe plus 8-port ethernet switch,networking,netgear,gs108e100nas,78.88,netgear fs605na 5-port fast ethernet switch,switches,netgear,fs605na,21.99
3080,1656,4711,0,logitech m315 wireless optical mouse blue,mice,logitech,m315,19.88,logitech m305 wireless mouse silver,mice,logitech,910-000928,19.99
6557,536,15737,0,microsoft expression studio v 4.0 ultimate upgrade version,software,microsoft,nkf-00001,338.0,microsoft expression studio 4 ultimate,computer accessories,microsoft,nkf-00008,547.99
4617,887,9036,0,da-lite dual vision tensioned advantage deluxe electrol - hdtv format 92 diagonal,electronics - general,da-lite,88285,4242.99,high power advantage deluxe electrol - av format size 6 x 8 diagonal,projection screens,da-lite,,
6345,2188,20664,0,buffalo technology 2tb usb 3.0 drivestation duo,hard drives,buffalo technology,hdwl2tu3r1,239.82,buffalo technology drivestation datavault 2 tb usb 2.0 desktop external hard drive hd-cxt2 .0 tu2 black,external hard drives,buffalo technology,hd-cxt2 .0 tu2,132.64
333,2439,10806,0,kingston hyperx 4gb kit 2 x 2gb ddr3 desktop memory module,memory,kingston,khx1600c9d3k2/4gx,49.99,kingston hyperx 4gb kit 2x2gb modules 1066mhz ddr2 desktop memory khx8500d2k2 4gr,memory,kingston,khx8500d2k2/4g,59.99
65,1792,10466,0,cyber acoustics computer stereo silver headset microphone,electronics - general,cyber acoustics,ac401,14.84,cyber acousticsstereo headset microphone ambidextrous design ac-201,headsets microphones,cyber acoustics,ac-201,10.33
4578,281,20258,0,nextware jellybean case for ipad black,mp3 accessories,nextware,jelpad-bk,29.95,nextware jellybean case for ipad - clear,cases sleeves,nextware,jelpad-cl,20.36
3259,1661,5147,0,edge 8gb diskgo usb 2.0 flash drive silver,usb drives,edge,pe204198,10.98,edge diskgo classic - usb flash drive - 1 gb - usb 2.0,usb flash drives,edge,classic,8.39
8461,1284,3319,0,v7 25 cat6 snagless molded network patch cable red,electronics - general,v7,v7n2c6-25f-reds,9.76,v7 cat5e snagless molded network patch cable rj45 male to male black 25-feet v7n3c5e-25f-blks,ethernet cables,v7,v7n3c5e-25f-blks,5.39
3154,1205,10835,0,microsoft publisher 2010,software,microsoft,164-06233,117.54,microsoft visio premium 2010,computer accessories,microsoft,tsd-01040,633.98
8737,1058,2261,0,us brown bear super slim series medium ultra low profile led tv mount for 23 - 37 displays,furniture,us brown bear,,39.99,us brown bear lm1-65s-blk large ultra low profile led tv mount for 42 to 65 displays black,tv mounts,u.s. brown bear,lm1-65s-blk,64.16
3793,102,11759,1,panasonic kx-tga660b dect 6.0 plus digital cordless handset black,phones,panasonic,kx-tga660b,40.88,panasonic kx-tga660b extra handset for 664x series cordless phones black,cordless telephones,panasonic,kx-tga660b,35.63
582,2342,6559,0,canon imageclass mf4570dn laser multifunction printer,stationery & office machinery,canon,4509b020aa,288.0,canon imageclass mf9220cdn multifunction printer,printer accessories,canon,,
4957,557,6498,0,coby 8gb video mp3 player black,mp3,coby,mp727-8gblk,59.88,coby 1.8 inch video mp3 player 2 gb with fm mp610-2gblk black,mp3 players,coby,mp610-2gblk,27.47
9044,278,16317,0,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,da-lite 98811 pearlescent tensioned cosmopolitan electrol - av format 12 x 12 diagonal,projection screens,da-lite,,
4142,73,12227,0,hp ce250a black toner cartridge,printers,hp,ce250a,187.04,brother tn250 toner cartridge,laser printer toner,brother,tn250,22.6
1586,1365,4029,0,los angeles lakers ipod touch 4g hard case,electronics - general,tribeca,fva4614,29.99,washington redskins ipod touch 4g hard case,computers accessories,tribeca,,29.99
1109,1571,2689,0,da-lite honey maple veneer model b manual screen with matte white fabric - 60 x 60 diagonal video format,electronics - general,da-lite,87184,167.99,natural walnut veneer model b manual screen with matte white fabric - diagonal video format size 60 x 60 diagonal,projection screens,da-lite,,
9494,2023,10822,0,minnesota vikings camera case,electronics - general,tribeca,fva3052,19.99,minnesota vikings ipod touch 4g hard case,computers accessories,tribeca,,29.99
5693,626,20429,0,da-lite holoscreen rear projection screen - 22 x 33 3 4 video format,electronics - general,da-lite,20030,1600.0,da-lite 27660 da-glas deluxe rear projection screen - 72 x 96 video format,projection screens,da-lite,,
2448,532,6031,0,vantec nexstar3 2.5 sata to usb 2.0 and esata external hard drive enclosure midnight blue,electronics - general,vantec,nst-260su-bl,23.0,vantec nexstar mx nst-400mx-s2 dual 3.5-inch sata to usb 2.0 with jbod external hard drive enclosure black,hard drive enclosures,vantec,nst-400mx-s2,44.99
6918,1223,2025,0,siig 3.5 sata superspeed usb 3.0 hard drive enclosure pro,electronics - general,siig,ju-sa0b12-s1,41.39,aluratek superspeed usb 3.0 2.5-inch 3.5-inch sata hard drive docking enclosure ahddu200f,computers accessories,aluratek,ahddu200f,34.84
7195,1583,12225,0,brother tx2511 laminated tape cartridge,stationery & office machinery,brother,tx2511,34.88,brother tn-620 toner cartridge,laser printer toner,brother,tn620,47.99
3578,525,12568,0,clarion cz301 cd mp3 wma aac receiver with usb port,car stereos,clarion,cz301,149.99,clarion mobile electronics cz201 - cd mp3 wma receiver with usb port,cd-mp3 players,clarion,cz201,99.99
3690,305,13307,0,v7 10 cat5e snagless network patch cable blue,electronics - general,v7,v7n3c5e-10f-blus,4.88,v7 cat5e snagless molded network patch cable rj45 male to male red 3-feet v7n3c5e-03f-reds,ethernet cables,v7,v7n3c5e-03f-reds,2.97
8181,176,3546,0,iosafe rugged 750gb usb 3.0 portable external hard drive,hard drives,iosafe,pa70750u1yr,139.98,lacie rikiki 500 gb usb 2.0 portable external hard drive 301909,external hard drives,lacie,301909,64.95
4012,91,17687,1,da-lite deluxe anti-sway brace for fast fold deluxe screens,electronics - general,da-lite,93605,132.99,deluxe anti-sway brace for fast fold deluxe screens,projection screens,da-lite,,132.99
2224,1178,20715,0,da-lite da-glas deluxe rear projection screen - 96 x 96 av format,electronics - general,da-lite,27651,6128.99,da-lite deluxe model b matte white - projection screen - 72 in,projection screens,da-lite,matte white,127.1
7736,322,13913,0,case logic 72 capacity heavy duty cd wallet,electronics - general,case logic,59253,15.99,case logic bnw-24 polyester cd dvd wallet 24 capacity black,disc storage wallets,case logic,bnw-24,14.99
426,1560,19964,0,pc treasures wireless optical mouse 2.4 ghz purple,mice,pc treasures,07227,17.82,pc treasures mighty mini mouse - 2.4 ghz wireless,mice,pc treasures,07230,16.69
9595,2293,14506,0,canon powershot sx130-is black 12.1 mp digital camera w 12x optical zoom 3.0 lcd display w 50 bonus prints,digital cameras,canon,sx130,191.99,canon powershot sx100is 8mp digital camera with 10x optical image stabilized zoom black,point shoot digital cameras,canon,sx100is,899.0
3,53,13427,0,da-lite da-plex base rear projection screen - 57 3 4 x 77 video format,electronics - general,da-lite,27528,2608.99,da-lite 27514 da-plex unframed rear projection screen - 108 x 144 video format,projection screens,da-lite,,
792,2538,6488,0,brother tn450 black toner cartridge high yield toner,printers,brother,tn450,48.88,ld compatible high yield black laser toner cartridge for lexmark 12a5845,laser printer toner,4inkjets,,74.99
2248,1532,2689,0,da-lite high power model b manual screen with csr - 60 x 80 video format,electronics - general,da-lite,85319,369.99,natural walnut veneer model b manual screen with matte white fabric - diagonal video format size 60 x 60 diagonal,projection screens,da-lite,,
6742,1959,14680,0,da-lite da-plex deluxe rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,27573,7452.99,da-lite da-view thru-the-wall rear projection screen - 57 3 4 x 77 video format,projection screens,da-lite,23040,11346.11
2112,2165,21076,1,targus rg0315c pulse backpack notebook case,computers,targus,,38.88,targus rg0315c pulse backpack for notebooks up to 15.4-inch screens black,bags cases,targus,rg0315c,32.82
2067,398,18813,0,pendaflex two-ply dark kraft file folders top tab brown 100 box,stationery & office machinery,,rk15313,51.79,smead 10776 - kraft file folder 2 5 cut right two-ply top tab letter brown 100 box,,smead,,
8183,928,17570,0,wilson jones basic vinyl round ring binder w label holder,stationery & office machinery,wilson jones,36849nhb,14.2,new-wilson jones 36834nbl - basic vinyl round ring binder 1-1 2 capacity dark blue - wlj36834nbl,adapter rings,wilson jones,,14.64
5968,462,14690,0,da-lite video spectra 1.5 model c with csr manual screen - 69 x 92 video format,electronics - general,da-lite,82978,657.99,da-lite model c with csr - projection screen - matte white,projection screens,da-lite,with csr,398.5
3526,1863,8814,0,lexar media ljdff2gbasbna 2gb jumpdrive firefly usb 2.0 flash drive,usb drives,lexar media,ljdff2gbasbna,13.88,lexar jumpdrive firefly 8gb usb 2.0 flash drive ljdff8gbasbna charcoal,usb flash drives,lexar,ljdff8gbasbna,14.99
5197,453,4892,1,incipio ak-334 kaddy nylon folio for amazon kindle 3 black,mp3 accessories,incipio,ak-334,28.5,incipio kaddy nylon kindle case black fits 6 display latest generation kindle,,incipio,ak-334,25.0
5081,1761,2669,0,buffalo technology linkstation duo 1 tb 2 x 500 gb network attached storage ls-wx1 .0 tl r1,networking,buffalo technology,lswx10tlr1,192.63,buffalo technology linkstation pro quad 4 tb 4 x 1 tb raid network attached storage ls-qv4 .0 tl r5 black,computers accessories,buffalo technology,ls-qv4 .0 tl/r5,488.99
3119,1933,7928,0,epson t060320 ink cartridge magenta,printers,epson,t060320,16.84,epson cyan ink cartridge t054220,inkjet printer ink,epson,t054220,13.73
14,417,17561,0,da-lite da-plex standard rear projection screen - 60 x 80 video format,electronics - general,da-lite,27544,2931.99,da-plex standard rear projection screen - 96 x 96 av format,projection screens,da-lite,,5912.99
7519,166,18507,0,da-lite da-view thru-the-wall rear projection screen - 58 x 104 hdtv format,electronics - general,da-lite,23074,22472.99,da-plex standard rear projection screen - 81 x 108 video format,projection screens,da-lite,,5115.0
3043,56,11153,0,edge tech proshot 4gb sdhc class 6 memory card,usb drives,edge tech,pe209780,10.88,edge proshot - flash memory card - 16 gb - class 2 - microsdhc,memory cards,edge,edgdm-221591-pe,25.37
9715,1405,14176,0,ibm 28p2010 black toner cartridge,printers,ibm,28p2010,425.0,brother tn540 black toner cartridge,laser printer toner,brother,tn540,51.49
2393,2515,554,0,corsair 115gb solid state drive corsair force series,hard drives,corsair,cssdf115gbp2brk,261.25,corsair 120 gb force series ultra fast trim supported solid state drive cssd-f120gb2-brkt,computers accessories,corsair,cssd-f120gb2-brkt,
6650,1132,20121,0,da-lite da-plex self trimming rear projection screen - 60 x 60 av format,electronics - general,da-lite,27575,2680.99,da lite data pro thru-the-wall rear projection screen - 45 x 80 hdtv format,projection screens,da-lite,23179,11772.99
4938,1145,12851,0,kodak easyshare m531 red 14mp digital camera w 3x optical zoom 2.7 lcd display w 50 bonus prints,digital cameras,kodak,m531 red,89.0,kodak easyshare m532 14 mp digital camera with 4x optical zoom and 2.7-inch lcd - red new model,point shoot digital cameras,kodak,1689868,89.0
5617,278,5349,0,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,da-tex rear tensioned advantage electrol - wide format size wide 94 diagonal,projection screens,da-lite,,
5367,41,18720,0,kingston ktd-dm8400a 1g 1gb ddr2 sdram memory module,memory,kingston,ktd-dm8400a / 1g,22.92,kingston 1 gb ddr2 sdram memory module 1 gb 1 x 1 gb 800mhz ddr2800 pc26400 ecc ddr2 sdram kth-xw4400e6 1g,memory,kingston,kth-xw4400e6 / 1g,18.74
4309,1910,1859,0,sigma 18-250mm zoom lens for nikon digital slr cameras 880306,camera and camcorder accessories,sigma,880306,478.0,nikon 35mm f 1.8 g af-s dx lens for nikon digital slr cameras,camera lenses,nikon,35mm af-s,199.0
4513,1511,8612,0,canon powershot elph 100 hs blue 12.1 mp digital camera with 4x optical zoom 3.0 lcd 1080p hd video w 50 bonus prints,digital cameras,canon,4925b001aa,178.54,canon powershot elph 300 hs 12 mp cmos digital camera with full 1080p hd video red,point shoot digital cameras,canon,elph 300 hs - rd,229.0
5794,993,10754,0,da-lite matte white model c with csr manual screen - 50 x 67 video format,electronics - general,da-lite,91841,397.99,da-lite advantage manual with csr - projection screen - 1 1 - matte white,projection screens,da-lite,,542.95
9155,95,14930,0,hp ce505xd black laserjet print cartridges 2pk,printers,hp,hp ce505xd,258.84,hp color laserjet cb400a black print cartridge in retail packaging,laser printer toner,hp,cb400a,145.99
1939,1471,9143,0,epson america powerlite d6250 projector,electronics - general,epson,elpd6250,1599.0,epson powerlite 410w projector white gray,video projectors,epson,v11h330020,838.99
3908,736,16922,0,hammermill everyday copy and print paper 92 bright 20lb letter white 5000 sheets ctn,stationery & office machinery,hammermill,162008,46.47,hammermill 162032 - tidal mp copy 3-hole punched paper 92 brightness 20lb ltr white 5000 ctn,accessory kits,hammermill,,68.91
10084,429,21844,0,western digital 2tb my book studio edition ii external hard drive,computers,western digital,wdh2q20000n,199.0,western digital my book essential 2 tb usb 3.0 2.0 desktop external hard drive,external hard drives,western digital,wdbacw0020hbk-nesn,89.99
8529,852,21693,0,da-lite da-view thru-the-wall rear projection screen - 60 x 80 video format,electronics - general,da-lite,23046,13997.99,da-lite da-plex thru-the-wall rear projection screen - 72 x 96 video format,projection screens,da-lite,23049,10252.0
1878,1133,12786,0,da-lite matte white model c with csr manual screen - 72 x 72 av format,electronics - general,da-lite,33403,563.99,da-lite model c with csr - projection screen - 106 in 269 cm - 16 9 - silver matte,home audio theater,da-lite,with csr,434.5
3539,284,10626,0,netgear powerline av 500 adapter,networking,netgear,xav5001100nas,79.82,netgear xe104 85 mbps powerline 4-port ethernet adapter,powerline network adapters,netgear,xe104na,69.99
3299,124,10929,0,ifrogz earpollution cs40-orange marin,mp3 accessories,ifrogz,epcs40orgmrn,39.99,ifrogz earpollution cs40 headphones red,headphones,ifrogz,ep-cs40-red,28.67
988,2422,11213,0,msi ati radeon hd6670 1gb ddr5 pci-express video card,electronics - general,msi,r6670-md1gd5,107.0,xfx ati radeon hd5450 1 gb ddr3 vga dvi hdmi low profile pci-express video card hd545xzch2,graphics cards,xfx,hd545xzch2,48.03
